direction_color,rowDate,rowDateRaw,rowDateTimestamp,last_close,last_open,last_max,last_min,volume,volumeRaw,change_precent,last_closeRaw,last_openRaw,last_maxRaw,last_minRaw,change_precentRaw,date,valid_ohlc,weekday,is_weekend,year,month
,,,2007-08-25,,,,,,,,,,,,,2007-08-25,False,5,True,2007,8
,,,2007-08-26,,,,,,,,,,,,,2007-08-26,False,6,True,2007,8
,,,2007-09-01,,,,,,,,,,,,,2007-09-01,False,5,True,2007,9
,,,2007-09-02,,,,,,,,,,,,,2007-09-02,False,6,True,2007,9
,,,2007-09-08,,,,,,,,,,,,,2007-09-08,False,5,True,2007,9
,,,2007-09-09,,,,,,,,,,,,,2007-09-09,False,6,True,2007,9
,,,2007-09-15,,,,,,,,,,,,,2007-09-15,False,5,True,2007,9
,,,2007-09-16,,,,,,,,,,,,,2007-09-16,False,6,True,2007,9
,,,2007-09-22,,,,,,,,,,,,,2007-09-22,False,5,True,2007,9
,,,2007-09-23,,,,,,,,,,,,,2007-09-23,False,6,True,2007,9
,,,2007-09-29,,,,,,,,,,,,,2007-09-29,False,5,True,2007,9
,,,2007-09-30,,,,,,,,,,,,,2007-09-30,False,6,True,2007,9
,,,2007-10-06,,,,,,,,,,,,,2007-10-06,False,5,True,2007,10
,,,2007-10-07,,,,,,,,,,,,,2007-10-07,False,6,True,2007,10
,,,2007-10-13,,,,,,,,,,,,,2007-10-13,False,5,True,2007,10
,,,2007-10-14,,,,,,,,,,,,,2007-10-14,False,6,True,2007,10
,,,2007-10-20,,,,,,,,,,,,,2007-10-20,False,5,True,2007,10
,,,2007-10-21,,,,,,,,,,,,,2007-10-21,False,6,True,2007,10
,,,2007-10-27,,,,,,,,,,,,,2007-10-27,False,5,True,2007,10
,,,2007-10-28,,,,,,,,,,,,,2007-10-28,False,6,True,2007,10
,,,2007-11-03,,,,,,,,,,,,,2007-11-03,False,5,True,2007,11
,,,2007-11-04,,,,,,,,,,,,,2007-11-04,False,6,True,2007,11
,,,2007-11-10,,,,,,,,,,,,,2007-11-10,False,5,True,2007,11
,,,2007-11-11,,,,,,,,,,,,,2007-11-11,False,6,True,2007,11
,,,2007-11-17,,,,,,,,,,,,,2007-11-17,False,5,True,2007,11
,,,2007-11-18,,,,,,,,,,,,,2007-11-18,False,6,True,2007,11
,,,2007-11-24,,,,,,,,,,,,,2007-11-24,False,5,True,2007,11
,,,2007-11-25,,,,,,,,,,,,,2007-11-25,False,6,True,2007,11
,,,2007-12-01,,,,,,,,,,,,,2007-12-01,False,5,True,2007,12
,,,2007-12-02,,,,,,,,,,,,,2007-12-02,False,6,True,2007,12
,,,2007-12-08,,,,,,,,,,,,,2007-12-08,False,5,True,2007,12
,,,2007-12-09,,,,,,,,,,,,,2007-12-09,False,6,True,2007,12
,,,2007-12-15,,,,,,,,,,,,,2007-12-15,False,5,True,2007,12
,,,2007-12-16,,,,,,,,,,,,,2007-12-16,False,6,True,2007,12
,,,2007-12-22,,,,,,,,,,,,,2007-12-22,False,5,True,2007,12
,,,2007-12-23,,,,,,,,,,,,,2007-12-23,False,6,True,2007,12
,,,2007-12-29,,,,,,,,,,,,,2007-12-29,False,5,True,2007,12
,,,2007-12-30,,,,,,,,,,,,,2007-12-30,False,6,True,2007,12
,,,2008-01-05,,,,,,,,,,,,,2008-01-05,False,5,True,2008,1
,,,2008-01-06,,,,,,,,,,,,,2008-01-06,False,6,True,2008,1
,,,2008-01-12,,,,,,,,,,,,,2008-01-12,False,5,True,2008,1
,,,2008-01-13,,,,,,,,,,,,,2008-01-13,False,6,True,2008,1
,,,2008-01-19,,,,,,,,,,,,,2008-01-19,False,5,True,2008,1
,,,2008-01-20,,,,,,,,,,,,,2008-01-20,False,6,True,2008,1
,,,2008-01-26,,,,,,,,,,,,,2008-01-26,False,5,True,2008,1
,,,2008-01-27,,,,,,,,,,,,,2008-01-27,False,6,True,2008,1
,,,2008-02-02,,,,,,,,,,,,,2008-02-02,False,5,True,2008,2
,,,2008-02-03,,,,,,,,,,,,,2008-02-03,False,6,True,2008,2
,,,2008-02-09,,,,,,,,,,,,,2008-02-09,False,5,True,2008,2
,,,2008-02-10,,,,,,,,,,,,,2008-02-10,False,6,True,2008,2
,,,2008-02-16,,,,,,,,,,,,,2008-02-16,False,5,True,2008,2
,,,2008-02-17,,,,,,,,,,,,,2008-02-17,False,6,True,2008,2
,,,2008-02-23,,,,,,,,,,,,,2008-02-23,False,5,True,2008,2
,,,2008-02-24,,,,,,,,,,,,,2008-02-24,False,6,True,2008,2
,,,2008-03-01,,,,,,,,,,,,,2008-03-01,False,5,True,2008,3
,,,2008-03-02,,,,,,,,,,,,,2008-03-02,False,6,True,2008,3
,,,2008-03-08,,,,,,,,,,,,,2008-03-08,False,5,True,2008,3
,,,2008-03-09,,,,,,,,,,,,,2008-03-09,False,6,True,2008,3
,,,2008-03-15,,,,,,,,,,,,,2008-03-15,False,5,True,2008,3
,,,2008-03-16,,,,,,,,,,,,,2008-03-16,False,6,True,2008,3
,,,2008-03-22,,,,,,,,,,,,,2008-03-22,False,5,True,2008,3
,,,2008-03-23,,,,,,,,,,,,,2008-03-23,False,6,True,2008,3
,,,2008-03-29,,,,,,,,,,,,,2008-03-29,False,5,True,2008,3
,,,2008-03-30,,,,,,,,,,,,,2008-03-30,False,6,True,2008,3
,,,2008-04-05,,,,,,,,,,,,,2008-04-05,False,5,True,2008,4
,,,2008-04-06,,,,,,,,,,,,,2008-04-06,False,6,True,2008,4
,,,2008-04-12,,,,,,,,,,,,,2008-04-12,False,5,True,2008,4
,,,2008-04-13,,,,,,,,,,,,,2008-04-13,False,6,True,2008,4
,,,2008-04-19,,,,,,,,,,,,,2008-04-19,False,5,True,2008,4
,,,2008-04-20,,,,,,,,,,,,,2008-04-20,False,6,True,2008,4
,,,2008-04-26,,,,,,,,,,,,,2008-04-26,False,5,True,2008,4
,,,2008-04-27,,,,,,,,,,,,,2008-04-27,False,6,True,2008,4
,,,2008-05-03,,,,,,,,,,,,,2008-05-03,False,5,True,2008,5
,,,2008-05-04,,,,,,,,,,,,,2008-05-04,False,6,True,2008,5
,,,2008-05-10,,,,,,,,,,,,,2008-05-10,False,5,True,2008,5
,,,2008-05-11,,,,,,,,,,,,,2008-05-11,False,6,True,2008,5
,,,2008-05-17,,,,,,,,,,,,,2008-05-17,False,5,True,2008,5
,,,2008-05-18,,,,,,,,,,,,,2008-05-18,False,6,True,2008,5
,,,2008-05-24,,,,,,,,,,,,,2008-05-24,False,5,True,2008,5
,,,2008-05-25,,,,,,,,,,,,,2008-05-25,False,6,True,2008,5
,,,2008-05-31,,,,,,,,,,,,,2008-05-31,False,5,True,2008,5
,,,2008-06-01,,,,,,,,,,,,,2008-06-01,False,6,True,2008,6
,,,2008-06-07,,,,,,,,,,,,,2008-06-07,False,5,True,2008,6
,,,2008-06-08,,,,,,,,,,,,,2008-06-08,False,6,True,2008,6
,,,2008-06-14,,,,,,,,,,,,,2008-06-14,False,5,True,2008,6
